,level_0,x,y,index
109,SRP54_HUMAN,0.34568924,1.0223389,109.0
110,STA5A_HUMAN,0.67664284,0.65419286,110.0
111,STAT3_HUMAN,0.34224668,0.25225937,111.0
112,STX5_HUMAN,0.3218978,0.88750845,112.0
113,TERF1_HUMAN,0.58811843,0.5946905,113.0
114,TFEB_HUMAN,0.5582447,0.6310621,114.0
115,TGFB1_HUMAN,0.90336704,0.8279593,115.0
116,TMPS2_HUMAN,0.18468833,-0.15560916,116.0
117,TRYB1_HUMAN,0.79059786,0.38695797,117.0
118,TWF2_HUMAN,0.6164612,0.81585914,118.0
119,UBC9_HUMAN,0.79133934,0.23311116,119.0
120,VKOR1_HUMAN,0.71202224,0.4308466,120.0
121,XPO1_HUMAN,0.71757996,0.12893258,121.0
122,YKT6_HUMAN,0.52337915,1.0138733,122.0
123,ZCRB1_HUMAN,0.347783,0.30768278,123.0
